,recID,oldRef,newRef,metaData
23285655,1334655,0,1391415,{'reference': {'dois': ['10.5281/zenodo.11020']}}
23377865,1292465,0,1391415,"{'reference': {'title': {'title': 'triangle.py v0.1.1'}, 'misc': ['Dan Foreman-Mackey, Adrian Price-Whelan, Geoffrey Ryan, Emily, Michael Smith, Kyle Barbary'], 'publication_info': {'year': 2014}, 'authors': [{'full_name': 'Hogg, David W.'}, {'full_name': 'Brewer, Brendon J.'}], 'label': '29', 'dois': ['10.5281/zenodo.11020']}}"
23437253,1385924,0,1391413,"{'reference': {'misc': ['2015, SuperFreq 3.4'], 'dois': ['10.5281/zenodo.18787'], 'authors': [{'full_name': 'Price-Whelan, A.M.'}]}}"
24164626,1327727,1253646,1253646,"{'reference': {'label': '146', 'misc': ['ATLAS full 2D likelihood for H → γγ 237'], 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253646'}, 'recid': 1253646}"
24164627,1327727,1253647,1253647,"{'reference': {'label': '147', 'misc': ['ATLAS full 2D likelihood for H → ZZ∗'], 'dois': ['10.7484/INSPIREHEP.DATA.RF5P.6M3K']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253647'}, 'recid': 1253647}"
24164628,1327727,1253648,1253648,"{'reference': {'label': '148', 'misc': ['ATLAS full 2D likelihood for H → WW∗'], 'dois': ['10.7484/INSPIREHEP.DATA.26B4.TY5F']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253648'}, 'recid': 1253648}"
24164984,1327727,1301484,1301484,"{'reference': {'label': '503', 'urls': [{'value': 'https://inspirehep.net/record/1301484'}], 'misc': ['MadAnalysis 5 implementation of CMS-SUS-13-011: search for stops in the single lepton final state at 8 TeV'], 'dois': ['10.7484/INSPIREHEP.DATA.LR5T.2RR3'], 'authors': [{'full_name': 'Dumont, B.'}, {'full_name': 'Fuks, B.'}, {'full_name': 'Wymant, C.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1301484'}, 'recid': 1301484}"
24164989,1327727,1326686,1326686,"{'reference': {'title': {'title': 'simplified model'}, 'urls': [{'value': 'http://inspirehep.net/record/1326686'}], 'collaborations': ['CMS collaborations'], 'misc': ['MadAnalysis 5 implementation of ATLAS-SUSY--11: di-leptons plus MET 262 ABSTRACT / RÉSUMÉ Two major problems call for an extension of the Standard Model (SM): the hierarchy problem in the Higgs sector and the dark matter in the Universe. The discovery of a Higgs boson with mass of about 125 GeV was clearly the most significant piece of news from CERN’s Large Hadron Collider (LHC). In addition to representing the ultimate triumph of the SM, it shed new light on the hierarchy problem and opened up new ways of probing new physics. The various measurements performed at Run I of the LHC constrain the Higgs couplings to SM particles as well as invisible and undetected decays. In this thesis, the impact of the LHC Higgs results on various new physics scenarios is assessed, carefully taking into account uncertainties and correlations between them. Generic modifications of the Higgs coupling strengths, possibly arising from extended Higgs sectors or higherdimensional operators, are considered. Furthermore, specific new physics models are tested. This includes, in particular, the phenomenological Minimal Supersymmetric Standard Model. While a Higgs boson has been found, no sign of beyond the SM physics was observed at Run I of the LHC in spite of the large number of searches performed by the ATLAS The implications of the negative results obtained in these searches constitute another important part of this thesis. First, supersymmetric models with a dark matter candidate are investigated in light of the negative searches for supersymmetry at the LHC using a so-called approach. Second, tools using simulated events to constrain any new physics scenario from the LHC results are presented. Moreover, during this thesis the selection criteria of several beyond the SM analyses have been reimplemented in the MadAnalysis 5 framework and made available in a public database'], 'publication_info': {'year': 2013}, 'authors': [{'full_name': 'Dumont, B.'}], 'label': '508', 'dois': ['10.7484/INSPIREHEP.DATA.HLMR.T56W.2']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1326686'}, 'recid': 1326686}"
24362630,1316507,1301484,1301484,"{'reference': {'label': '3', 'dois': ['10.7484/INSPIREHEP.DATA.LR5T.2RR3'], 'authors': [{'full_name': 'Dumont, B.'}, {'full_name': 'Fuks, B.'}, {'full_name': 'Wymant, C.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1301484'}, 'recid': 1301484}"
24362638,1316507,1302493,1302493,"{'reference': {'label': '9', 'dois': ['10.7484/INSPIREHEP.DATA.Z4ML.3W67'], 'authors': [{'full_name': 'Chalons, G.'}]}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1302493'}, 'recid': 1302493}"
24426394,1338395,0,1391418,"{'reference': {'label': '14', 'dois': ['10.5281/zenodo.13302'], 'authors': [{'full_name': 'A, Jackson'}, {'full_name': 'URL, Kanaki K.'}]}}"
24463945,1365046,0,1391415,"{'reference': {'label': '47', 'misc': ['Brewer, triangle.py v0.1.1doi:'], 'dois': ['10.5281/zenodo.11020'], 'authors': [{'full_name': 'Foreman-Mackey, D.'}, {'full_name': 'Price-Whelan, A.'}, {'full_name': 'Ryan, G.'}, {'full_name': 'Emily'}, {'full_name': 'Smith, M.'}, {'full_name': 'Barbary, K.'}, {'full_name': 'D. W. Hogg, B.J.'}]}}"
24530079,1305424,0,1391421,"{'reference': {'misc': ['Collaboration. Zenodo, Jul. URL'], 'dois': ['10.5281/zenodo.10777'], 'publication_info': {'year': 2014}}}"
24549744,1318924,0,1391415,"{'reference': {'label': '87', 'misc': ['triangle.py, URL'], 'dois': ['10.5281/zenodo.11020'], 'authors': [{'full_name': 'Foreman-Mackay, D.'}]}}"
24551687,1315335,1253646,1253646,"{'reference': {'urls': [{'value': 'http://doi.org/'}], 'collaborations': ['ATLAS Collaboration'], 'misc': ['(Sep)'], 'publication_info': {'year': 2013}, 'label': '22', 'dois': ['10.7484/INSPIREHEP.DATA.A78C.HK44']}, 'curated_relation': False, 'record': {'$ref': 'http://localhost:5000/api/literature/1253646'}, 'recid': 1253646}"
