,Citation_Difference
1626093,-7.0
526587,-7.0
529060,-7.0
457577,-7.0
1236686,-7.0
70978,-7.0
1394546,-7.0
497900,-7.0
154501,-6.0
1299223,-6.0
180667,-6.0
711553,-6.0
55131,-6.0
1431014,-6.0
790981,-6.0
746709,-6.0
1434232,-6.0
889128,-6.0
119522,-6.0
370019,-6.0
720904,-6.0
896679,-6.0
866510,-6.0
815500,-6.0
777335,-6.0
945955,-6.0
498173,-6.0
882343,-6.0
1432843,-6.0
48842,-6.0
870575,-6.0
1331398,-6.0
1364319,-6.0
1263015,-6.0
1117964,-6.0
566224,-6.0
711539,-6.0
320556,-6.0
642434,-6.0
438485,-6.0
261956,-6.0
198507,-6.0
774648,-6.0
461136,-6.0
1357668,-6.0
1431382,-6.0
131977,-6.0
14986,-6.0
1237271,-6.0
1278303,-6.0
460247,-6.0
474667,-6.0
459511,-6.0
42653,-6.0
42693,-6.0
894892,-6.0
1207505,-6.0
544024,-6.0
899331,-6.0
379900,-6.0
881125,-6.0
942867,-6.0
113708,-6.0
1431611,-6.0
143896,-6.0
772921,-6.0
926944,-6.0
53232,-6.0
1625826,-6.0
495800,-6.0
1509702,-6.0
745264,-6.0
281678,-6.0
1118781,-6.0
471478,-6.0
497169,-6.0
679279,-6.0
824053,-6.0
338217,-6.0
481678,-6.0
1089068,-6.0
95483,-6.0
471981,-6.0
713912,-6.0
527190,-6.0
78651,-6.0
746158,-6.0
713910,-6.0
574825,-6.0
209356,-6.0
95448,-6.0
172119,-6.0
540159,-6.0
839697,-6.0
830396,-6.0
83436,-6.0
3673,-6.0
256542,-6.0
1223996,-6.0
52289,-6.0
763715,-6.0
701824,-6.0
737439,-6.0
187801,-6.0
730655,-6.0
435672,-6.0
1085960,-6.0
1310233,-6.0
239266,-6.0
1103048,-6.0
751837,-6.0
650518,-6.0
139214,-6.0
752450,-6.0
1625827,-6.0
753059,-6.0
591294,-6.0
308661,-6.0
1426656,-6.0
707101,-6.0
1229250,-6.0
128947,-6.0
271740,-6.0
39869,-6.0
865199,-6.0
1311749,-6.0
1435440,-6.0
626698,-6.0
650094,-6.0
287136,-6.0
580761,-6.0
288006,-6.0
9258,-6.0
1437055,-6.0
87981,-6.0
1184442,-6.0
1620082,-6.0
266358,-6.0
266257,-6.0
59436,-6.0
393053,-6.0
752463,-6.0
104415,-6.0
40891,-6.0
87389,-6.0
436342,-6.0
286746,-6.0
946964,-6.0
220438,-6.0
152693,-6.0
1434015,-6.0
558256,-6.0
535230,-6.0
736774,-6.0
499109,-6.0
1244076,-6.0
12266,-6.0
853989,-6.0
851889,-6.0
1636155,-6.0
793032,-6.0
1435379,-6.0
1371946,-6.0
269095,-6.0
499802,-6.0
547504,-6.0
891343,-6.0
398523,-6.0
720909,-6.0
263151,-6.0
358042,-6.0
1468362,-6.0
1347385,-6.0
681661,-6.0
717519,-6.0
633414,-6.0
548013,-6.0
1116598,-6.0
1210014,-6.0
572433,-6.0
139188,-5.0
128224,-5.0
1261053,-5.0
435976,-5.0
53971,-5.0
1291925,-5.0
400797,-5.0
94983,-5.0
1287641,-5.0
88443,-5.0
465908,-5.0
741465,-5.0
458365,-5.0
415012,-5.0
451782,-5.0
1268081,-5.0
830281,-5.0
373252,-5.0
895252,-5.0
413587,-5.0
1486630,-5.0
833055,-5.0
752425,-5.0
424998,-5.0
1261245,-5.0
752439,-5.0
940831,-5.0
164211,-5.0
473024,-5.0
646297,-5.0
899297,-5.0
809864,-5.0
152426,-5.0
928072,-5.0
738585,-5.0
610447,-5.0
93713,-5.0
414914,-5.0
601277,-5.0
373066,-5.0
622999,-5.0
173746,-5.0
621479,-5.0
1351291,-5.0
616064,-5.0
590195,-5.0
600051,-5.0
375029,-5.0
753174,-5.0
897359,-5.0
63827,-5.0
350681,-5.0
145989,-5.0
404517,-5.0
130277,-5.0
108763,-5.0
920611,-5.0
883248,-5.0
726806,-5.0
121497,-5.0
833272,-5.0
726815,-5.0
814169,-5.0
1296280,-5.0
744689,-5.0
891080,-5.0
747273,-5.0
1308942,-5.0
631170,-5.0
463357,-5.0
714770,-5.0
837629,-5.0
375405,-5.0
469964,-5.0
882210,-5.0
1084184,-5.0
1311726,-5.0
1282882,-5.0
1345792,-5.0
1307207,-5.0
893712,-5.0
54829,-5.0
1258562,-5.0
623737,-5.0
914464,-5.0
831264,-5.0
1475153,-5.0
95587,-5.0
145134,-5.0
733249,-5.0
944007,-5.0
1342926,-5.0
386831,-5.0
947057,-5.0
734866,-5.0
460907,-5.0
595557,-5.0
600812,-5.0
105046,-5.0
913926,-5.0
119635,-5.0
898931,-5.0
892363,-5.0
930804,-5.0
354689,-5.0
369929,-5.0
896558,-5.0
718632,-5.0
449204,-5.0
439500,-5.0
165530,-5.0
54979,-5.0
362834,-5.0
93563,-5.0
926004,-5.0
734091,-5.0
1393983,-5.0
709949,-5.0
270226,-5.0
328552,-5.0
1431251,-5.0
692288,-5.0
1184447,-5.0
707980,-5.0
709797,-5.0
269754,-5.0
781034,-5.0
760770,-5.0
496692,-5.0
12289,-5.0
1386662,-5.0
325843,-5.0
861156,-5.0
861157,-5.0
764710,-5.0
327392,-5.0
679995,-5.0
1614062,-5.0
487435,-5.0
771278,-5.0
184828,-5.0
710156,-5.0
9153,-5.0
844157,-5.0
788562,-5.0
483959,-5.0
1431523,-5.0
269753,-5.0
867863,-5.0
331140,-5.0
1185554,-5.0
859720,-5.0
1400955,-5.0
238615,-5.0
1444933,-5.0
668433,-5.0
852513,-5.0
658722,-5.0
664354,-5.0
1630774,-5.0
1112905,-5.0
495427,-5.0
17148,-5.0
777286,-5.0
1435336,-5.0
524229,-5.0
556268,-5.0
662315,-5.0
1424917,-5.0
793293,-5.0
696581,-5.0
1210006,-5.0
493803,-5.0
864759,-5.0
522519,-5.0
195025,-5.0
557558,-5.0
1435286,-5.0
225797,-5.0
1391593,-5.0
1431046,-5.0
44373,-5.0
672980,-5.0
577846,-5.0
318016,-5.0
861520,-5.0
861594,-5.0
1110813,-5.0
1240477,-5.0
276938,-5.0
861716,-5.0
694845,-5.0
790270,-5.0
491045,-5.0
764515,-5.0
1430319,-5.0
1239451,-5.0
526767,-5.0
576834,-5.0
672793,-5.0
873808,-5.0
561296,-5.0
209810,-5.0
773976,-5.0
338506,-5.0
841574,-5.0
4609,-5.0
1383122,-5.0
1608832,-5.0
1432372,-5.0
1432854,-5.0
711415,-5.0
1407882,-5.0
565454,-5.0
856467,-5.0
1602531,-5.0
503111,-5.0
1432448,-5.0
35310,-5.0
341517,-5.0
654901,-5.0
339134,-5.0
206490,-5.0
711541,-5.0
1433772,-5.0
871126,-5.0
312423,-5.0
475383,-5.0
665601,-5.0
704265,-5.0
878184,-5.0
538490,-5.0
654614,-5.0
3894,-5.0
202570,-5.0
1195371,-5.0
800104,-5.0
