,recID,oldRef,newRef,metaData
828394,695571,695571,695571,"{'record': {'$ref': 'http://localhost:5000/api/literature/695571'}, 'reference': {'arxiv_eprint': 'hep-th/0510167', 'publication_info': {'page_start': '2', 'journal_title': 'Nucl.Phys.B Proc.Suppl.', 'journal_volume': '161', 'artid': '2'}}, 'recid': 695571, 'curated_relation': False}"
830696,696643,696643,696643,"{'record': {'$ref': 'http://localhost:5000/api/literature/696643'}, 'reference': {'arxiv_eprint': 'hep-ex/0511001', 'publication_info': {'page_start': '266', 'journal_title': 'J.Phys.Conf.Ser.', 'journal_volume': '39', 'artid': '266'}}, 'recid': 696643, 'curated_relation': False}"
848839,689142,689142,689142,"{'record': {'$ref': 'http://localhost:5000/api/literature/689142'}, 'reference': {'arxiv_eprint': 'hep-ex/0508012', 'publication_info': {'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '96', 'artid': '041801'}}, 'recid': 689142, 'curated_relation': False}"
859933,270354,270354,270354,"{'record': {'$ref': 'http://localhost:5000/api/literature/270354'}, 'reference': {'publication_info': {'page_start': '2904', 'journal_title': 'Phys.Rev.D', 'journal_volume': '38', 'artid': '2904'}}, 'recid': 270354, 'curated_relation': False}"
862116,211938,211938,211938,"{'record': {'$ref': 'http://localhost:5000/api/literature/211938'}, 'reference': {'arxiv_eprint': 'gr-qc/0105108', 'publication_info': {'page_start': '435', 'journal_title': 'Annalen Phys.', 'journal_volume': '41', 'artid': '435'}}, 'recid': 211938, 'curated_relation': False}"
871054,237409,237409,237409,"{'record': {'$ref': 'http://localhost:5000/api/literature/237409'}, 'reference': {'publication_info': {'year': 1986}, 'misc': ['Z. Phys. CQ, 253 (1981). [12] S. Midorikawa, M. So and S. Yoshimoto INS-580 Tokyo, April,. -lO-'], 'report_numbers': ['FERMILAB-Pub-86-113-T'], 'title': {'title': 'Renormalization Group approach to QCD Phase Transitions'}, 'authors': [{'full_name': 'Kajantie, K.'}, {'full_name': 'Montonen, C.'}, {'full_name': 'Pietarinen, E.'}], 'label': 'll'}, 'recid': 237409, 'curated_relation': False}"
894733,364016,364016,364016,"{'record': {'$ref': 'http://localhost:5000/api/literature/364016'}, 'reference': {'publication_info': {'page_start': '974', 'journal_title': 'Theor.Math.Phys.', 'journal_volume': '96', 'artid': '974'}}, 'recid': 364016, 'curated_relation': False}"
894755,361816,361816,361816,"{'record': {'$ref': 'http://localhost:5000/api/literature/361816'}, 'reference': {'publication_info': {'page_start': '529', 'journal_title': 'Nucl.Instrum.Meth.A', 'journal_volume': '344', 'artid': '529'}}, 'recid': 361816, 'curated_relation': False}"
955784,690161,690161,690161,"{'record': {'$ref': 'http://localhost:5000/api/literature/690161'}, 'reference': {'arxiv_eprint': 'hep-th/0508123', 'publication_info': {'page_start': '1273', 'journal_title': 'Int.J.Mod.Phys.D', 'journal_volume': '16', 'artid': '1273'}}, 'recid': 690161, 'curated_relation': False}"
970135,217026,217026,217026,"{'record': {'$ref': 'http://localhost:5000/api/literature/217026'}, 'reference': {'publication_info': {'page_start': '1114', 'journal_title': 'Phys.Rev.D', 'journal_volume': '31', 'artid': '1114'}}, 'recid': 217026, 'curated_relation': False}"
1003589,560632,560632,560632,"{'record': {'$ref': 'http://localhost:5000/api/literature/560632'}, 'reference': {'arxiv_eprint': 'hep-ph/0107254', 'publication_info': {'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '88', 'artid': '051802'}}, 'recid': 560632, 'curated_relation': False}"
1008768,523827,523827,523827,"{'record': {'$ref': 'http://localhost:5000/api/literature/523827'}, 'reference': {'arxiv_eprint': 'gr-qc/0002040', 'publication_info': {'page_start': '5255', 'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '84', 'artid': '5255'}}, 'recid': 523827, 'curated_relation': False}"
1045842,708972,708972,708972,"{'record': {'$ref': 'http://localhost:5000/api/literature/708972'}, 'reference': {'arxiv_eprint': 'gr-qc/0601085', 'publication_info': {'page_start': '11', 'journal_title': 'Living Rev.Rel.', 'journal_volume': '8', 'artid': '11'}}, 'recid': 708972, 'curated_relation': False}"
1078149,708326,708326,708326,"{'record': {'$ref': 'http://localhost:5000/api/literature/708326'}, 'reference': {'arxiv_eprint': 'quant-ph/0610148', 'publication_info': {'journal_title': 'J.Phys.A', 'journal_volume': '39', 'artid': '11599'}}, 'recid': 708326, 'curated_relation': False}"
1110457,346239,346239,346239,"{'record': {'$ref': 'http://localhost:5000/api/literature/346239'}, 'reference': {'publication_info': {'page_start': '529', 'journal_title': 'Russ.Phys.J.', 'journal_volume': '35', 'artid': '529'}}, 'recid': 346239, 'curated_relation': False}"
1115149,352891,352891,352891,"{'record': {'$ref': 'http://localhost:5000/api/literature/352891'}, 'reference': {'arxiv_eprint': 'hep-th/9302111', 'publication_info': {'page_start': '58', 'journal_title': 'Phys.Lett.B', 'journal_volume': '308', 'artid': '58'}}, 'recid': 352891, 'curated_relation': False}"
1123870,537632,537632,537632,"{'record': {'$ref': 'http://localhost:5000/api/literature/537632'}, 'reference': {'arxiv_eprint': 'nucl-th/0011098', 'publication_info': {'journal_title': 'Phys.Rev.C', 'journal_volume': '65', 'artid': '044310'}}, 'recid': 537632, 'curated_relation': False}"
1142850,532237,532237,532237,"{'record': {'$ref': 'http://localhost:5000/api/literature/532237'}, 'reference': {'report_numbers': ['SLAC-PUB-8573'], 'misc': ['(Sept. 2000), which is an expanded version of this paper'], 'label': '7', 'authors': [{'full_name': 'Adolphsen, C.'}]}, 'recid': 532237, 'curated_relation': False}"
1149192,537809,537809,537809,"{'record': {'$ref': 'http://localhost:5000/api/literature/537809'}, 'reference': {'publication_info': {'page_start': '104C', 'journal_title': 'Nucl.Phys.A', 'journal_volume': '675', 'artid': '104C'}}, 'recid': 537809, 'curated_relation': False}"
1161698,62094,62094,62094,"{'record': {'$ref': 'http://localhost:5000/api/literature/62094'}, 'reference': {'publication_info': {'page_start': '1731', 'journal_title': 'Phys.Rev.', 'journal_volume': '186', 'artid': '1731'}}, 'recid': 62094, 'curated_relation': False}"
1200713,678014,678014,678014,"{'record': {'$ref': 'http://localhost:5000/api/literature/678014'}, 'reference': {'arxiv_eprint': 'hep-th/0503074'}, 'recid': 678014, 'curated_relation': False}"
1202213,679193,679193,679193,"{'record': {'$ref': 'http://localhost:5000/api/literature/679193'}, 'reference': {'arxiv_eprint': 'hep-th/0503219', 'publication_info': {'journal_title': 'Phys.Rev.D', 'journal_volume': '72', 'artid': '024010'}}, 'recid': 679193, 'curated_relation': False}"
1231525,352683,352683,352683,"{'record': {'$ref': 'http://localhost:5000/api/literature/352683'}, 'reference': {'arxiv_eprint': 'hep-th/9302008', 'publication_info': {'page_start': '55', 'journal_title': 'Phys.Lett.B', 'journal_volume': '306', 'artid': '55'}}, 'recid': 352683, 'curated_relation': False}"
1252211,539149,539149,539149,"{'record': {'$ref': 'http://localhost:5000/api/literature/539149'}, 'reference': {'publication_info': {'page_start': '1679', 'journal_title': 'Mod.Phys.Lett.A', 'journal_volume': '15', 'artid': '1679'}}, 'recid': 539149, 'curated_relation': False}"
1254557,517942,517942,517942,"{'record': {'$ref': 'http://localhost:5000/api/literature/517942'}, 'reference': {'publication_info': {'page_start': '269', 'journal_title': 'AIP Conf.Proc.', 'year': 2000, 'journal_volume': '512', 'artid': '269'}, 'misc': ['in: H.-O. Meyer, P. Schwandt (eds.) Fourth International Conference STORI99'], 'label': '2', 'authors': [{'full_name': 'Klepper, O.'}]}, 'recid': 517942, 'curated_relation': False}"
1293863,404164,404164,404164,"{'record': {'$ref': 'http://localhost:5000/api/literature/404164'}, 'reference': {'arxiv_eprint': 'hep-ex/9603002', 'publication_info': {'page_start': '3277', 'journal_title': 'Phys.Rev.Lett.', 'journal_volume': '76', 'artid': '3277'}}, 'recid': 404164, 'curated_relation': False}"
1301910,673475,673475,673475,"{'record': {'$ref': 'http://localhost:5000/api/literature/673475'}, 'reference': {'arxiv_eprint': 'quant-ph/0609056', 'publication_info': {'page_start': '154', 'journal_title': 'Proc.Steklov Inst.Math.', 'journal_volume': '245', 'artid': '154'}}, 'recid': 673475, 'curated_relation': False}"
1310892,666911,666911,666911,"{'record': {'$ref': 'http://localhost:5000/api/literature/666911'}, 'reference': {'arxiv_eprint': 'hep-ph/0412158'}, 'recid': 666911, 'curated_relation': False}"
1415115,411444,411444,411444,"{'record': {'$ref': 'http://localhost:5000/api/literature/411444'}, 'reference': {'arxiv_eprint': 'hep-ex/0110038', 'publication_info': {'page_start': '343', 'journal_title': 'Phys.Lett.A', 'journal_volume': '205', 'artid': '343'}}, 'recid': 411444, 'curated_relation': False}"
1435157,700803,700803,700803,"{'record': {'$ref': 'http://localhost:5000/api/literature/700803'}, 'reference': {'arxiv_eprint': 'hep-th/0512233', 'publication_info': {'page_start': '329', 'journal_title': 'Rev.Math.Phys.', 'journal_volume': '18', 'artid': '329'}}, 'recid': 700803, 'curated_relation': False}"
1436510,699966,699966,699966,"{'record': {'$ref': 'http://localhost:5000/api/literature/699966'}, 'reference': {'arxiv_eprint': 'hep-th/0512102', 'publication_info': {'page_start': '018', 'journal_title': 'JCAP', 'year': '2006', 'journal_volume': '05', 'artid': '018'}}, 'recid': 699966, 'curated_relation': False}"
1442310,700681,700681,700681,"{'record': {'$ref': 'http://localhost:5000/api/literature/700681'}, 'reference': {'arxiv_eprint': 'hep-th/0512200', 'publication_info': {'journal_title': 'Phys.Rev.D', 'journal_volume': '74', 'artid': '064018'}}, 'recid': 700681, 'curated_relation': False}"
1453377,697906,697906,697906,"{'record': {'$ref': 'http://localhost:5000/api/literature/697906'}, 'reference': {'arxiv_eprint': 'nucl-th/0511033', 'publication_info': {'journal_title': 'Phys.Rev.C', 'journal_volume': '73', 'artid': '015208'}}, 'recid': 697906, 'curated_relation': False}"
1471072,479473,479473,479473,"{'record': {'$ref': 'http://localhost:5000/api/literature/479473'}, 'reference': {'arxiv_eprint': 'hep-th/9811167', 'publication_info': {'page_start': '015', 'journal_title': 'JHEP', 'year': '1999', 'journal_volume': '01', 'artid': '015'}}, 'recid': 479473, 'curated_relation': False}"
1512126,546822,546822,546822,"{'record': {'$ref': 'http://localhost:5000/api/literature/546822'}, 'reference': {'arxiv_eprint': 'astro-ph/0007370', 'publication_info': {'page_start': '65', 'journal_title': 'Astron.Astrophys.Trans.', 'journal_volume': '21', 'artid': '65'}}, 'recid': 546822, 'curated_relation': False}"
1563212,682864,682864,682864,"{'record': {'$ref': 'http://localhost:5000/api/literature/682864'}, 'reference': {'publication_info': {'journal_title': 'Phys.Rev.D', 'year': 2005, 'journal_volume': '72', 'artid': '125008'}, 'label': '24', 'authors': [{'full_name': 'Rajaraman, A.'}]}, 'recid': 682864, 'curated_relation': False}"
1577602,729738,729738,729738,"{'record': {'$ref': 'http://localhost:5000/api/literature/729738'}, 'reference': {'arxiv_eprint': 'hep-th/0610247', 'publication_info': {'page_start': '177', 'journal_title': 'Nucl.Phys.B', 'journal_volume': '768', 'artid': '177'}}, 'recid': 729738, 'curated_relation': False}"
1696210,16924,16924,16924,"{'record': {'$ref': 'http://localhost:5000/api/literature/16924'}, 'reference': {'arxiv_eprint': 'hep-th/9910093', 'publication_info': {'page_start': '22', 'journal_title': 'Phys.Lett.B', 'journal_volume': '159', 'artid': '22'}}, 'recid': 16924, 'curated_relation': False}"
